id,priority,category,part,qty,sku_click,why,est_cny_low,est_cny_high,taobao_url,alt_url
A1,MUST,Compute,ESP32-S3-DevKitC-1 N8R8 or N16R8,2,USB-C pre-soldered pins; official or clone N16R8,MCU I2C UART ADC LEDC,50,200,https://s.taobao.com/search?q=ESP32-S3-DevKitC-1%20N16R8,http://espressif.taobao.com/category-1608826765.htm
A2,MUST,Compute,USB-C data cable,2,Charge+data not charge-only,Flash and serial,10,20,https://s.taobao.com/search?q=Type-C%20%E6%95%B0%E6%8D%AE%E7%BA%BF%20%E5%85%85%E7%94%B5%2B%E6%95%B0%E6%8D%AE,
A3,MUST,Sense,GY-302 BH1750FVI,2,I2C ADDR to GND = 0x23,Ambient lux night/dawn,6,16,https://s.taobao.com/search?q=GY-302%20BH1750,
A4,MUST,Sense,HLK-LD2410C,2,Kit A or B; not LD2410D-only; 5V supply 3.3V UART,Walker presence mmWave,16,40,https://s.taobao.com/search?q=LD2410C%20%E6%B5%B7%E5%87%8C%E7%A7%91,https://hlktech.com/cn/Goods-239.html
A5,MUST,Sense,MAX9814 or MAX4466 analog mic,2,3.3V analog OUT,10-15 kHz A. australis gate,6,16,https://s.taobao.com/search?q=MAX9814%20%E9%BA%A6%E5%85%8B%E9%A3%8E%20%E6%A8%A1%E5%9D%97,
A6,MUST,Sense,TCT40-16R 40 kHz receiver,2,Receive R not transmit T,25-40 kHz proxy plus playback,4,12,https://s.taobao.com/search?q=TCT40-16R%20%E8%B6%85%E5%A3%B0%E6%B3%A2%E6%8E%A5%E6%94%B6,
A7,MUST,Demo,TCT40-16T 40 kHz transmitter,2,Or buy TX/RX pair,Assessor playback stimulus,4,12,https://s.taobao.com/search?q=TCT40-16T%20%E8%B6%85%E5%A3%B0%E6%B3%A2%E5%8F%91%E5%B0%84,
A8,MUST,Sense,LM358 DIP or module,3,Single-supply opamp,Amp and envelope for 40 kHz head,3,10,https://s.taobao.com/search?q=LM358%20DIP-8,
A9,MUST,Actuate,1W or 3W LED 2200K on 20mm Al star,3,2200K 2000K 金黄 琥珀 not 6500K,Downward path light,6,20,https://s.taobao.com/search?q=1W%203W%20%E7%81%AF%E7%8F%A0%202200K%20%E9%93%9D%E5%9F%BA%E6%9D%BF,
A10,MUST,Actuate,AO3400 or 3.3V PWM MOSFET module,10,Logic-level N-FET,LED PWM switch,3,12,https://s.taobao.com/search?q=AO3400%20MOSFET,
A11,MUST,Actuate,5mm amber LED,20,橙黄 2.0-2.2V,Underside maintainer only,2,6,https://s.taobao.com/search?q=5mm%20LED%20%E6%A9%99%E9%BB%84%20%E7%81%AF%E7%8F%A0,
A12,MUST,Actuate,MG90S metal-gear 180deg,2,Not 360 continuous; not SG90,Bush-shield blade,16,30,https://s.taobao.com/search?q=MG90S%20%E9%87%91%E5%B1%9E%E9%BD%BF%E8%BD%AE%20180%E5%BA%A6,
A13,MUST,Wiring,830 breadboard + Dupont set,1,M-M M-F F-F 20cm,Bring-up,12,25,https://s.taobao.com/search?q=830%20%E9%9D%A2%E5%8C%85%E6%9D%BF%20%E6%9D%9C%E9%82%A6%E7%BA%BF%20%E5%A5%97%E8%A3%85,
A14,MUST,Wiring,1/4W resistor kit,1,Include 5.6 10 220 1k 10k,Ballast gate LED I2C,8,15,https://s.taobao.com/search?q=%E7%94%B5%E9%98%BB%E5%8C%85%201%2F4W,
A15,MUST,Wiring,Capacitor kit,1,100nF 10uF 100uF,MCU rail decoupling,6,12,https://s.taobao.com/search?q=%E7%94%B5%E5%AE%B9%E5%8C%85%20104%2010uF%20100uF,
A16,MUST,Wiring,1N4148 and 1N5819 pack,1,Signal + Schottky,Envelope and flyback,3,8,https://s.taobao.com/search?q=1N4148%201N5819,
A17,MUST,Enclosure,PETG 1.75mm black 1kg,1,eSUN or similar; not PLA,Fabricated bollard,50,85,https://s.taobao.com/search?q=PETG%201.75%20%E9%BB%91%E8%89%B2%201kg,
B1,SHOULD,Compute,CH340 or CP2102 USB-TTL,1,3.3/5V jumper,LD2410 PC config,6,15,https://s.taobao.com/search?q=CH340%20USB%E8%BD%ACTTL,
B2,SHOULD,Sense,25 kHz ultrasonic receiver,2,16mm 25kHz 接收,Closer to C. gouldii band,5,15,https://s.taobao.com/search?q=25kHz%20%E8%B6%85%E5%A3%B0%E6%B3%A2%E6%8E%A5%E6%94%B6%E6%8E%A2%E5%A4%B4,
B3,SHOULD,Sense,CD4040 DIP,5,12-stage divider,True frequency division optional,3,8,https://s.taobao.com/search?q=CD4040%20DIP,
B4,SHOULD,Actuate,LED constant-current driver 350mA,2,Or 700mA for 3W LED,Cleaner than power resistor,6,16,https://s.taobao.com/search?q=LED%E6%81%92%E6%B5%81%E9%A9%B1%E5%8A%A8%20350mA,
B5,SHOULD,Actuate,20mm LED star heatsink,2,Match Al star,3W will melt PETG,4,10,https://s.taobao.com/search?q=20mm%20%E9%93%9D%E5%9F%BA%E6%9D%BF%20%E6%95%A3%E7%83%AD%E7%89%87,
B6,SHOULD,Power,5V 2A USB adaptor,1,USB-A or C 5V,Servo+LED+radar exceed laptop port,15,35,https://s.taobao.com/search?q=5V2A%20USB%E5%85%85%E7%94%B5%E5%99%A8,
